"ticket_name","hourly_high_price","timestamp","hour"
"BYND","137.97","2020-05-14 09:39:00-04:00","09"
"BYND","139.56","2020-05-14 10:31:00-04:00","10"
"BYND","141.0","2020-05-14 11:15:00-04:00","11"
"BYND","138.24","2020-05-14 12:57:00-04:00","12"
"BYND","137.79","2020-05-14 13:00:00-04:00","13"
"BYND","135.73","2020-05-14 14:12:00-04:00","14"
"BYND","135.85","2020-05-14 15:54:00-04:00","15"
"DDOG","67.25","2020-05-14 09:32:00-04:00","09"
"DDOG","66.55","2020-05-14 10:09:00-04:00","10"
"DDOG","65.0","2020-05-14 11:05:00-04:00","11"
"DDOG","64.88","2020-05-14 12:54:00-04:00","12"
"DDOG","65.0","2020-05-14 13:02:00-04:00","13"
"DDOG","64.13","2020-05-14 14:48:00-04:00","14"
"DDOG","65.87","2020-05-14 15:54:00-04:00","15"
"FB","203.87","2020-05-14 09:37:00-04:00","09"
"FB","203.35","2020-05-14 10:53:00-04:00","10"
"FB","204.27","2020-05-14 11:37:00-04:00","11"
"FB","205.1","2020-05-14 12:56:00-04:00","12"
"FB","205.64","2020-05-14 13:32:00-04:00","13"
"FB","204.99","2020-05-14 14:29:00-04:00","14"
"FB","206.93","2020-05-14 15:59:00-04:00","15"
"NFLX","452.0","2020-05-14 09:36:00-04:00","09"
"NFLX","446.51","2020-05-14 10:08:00-04:00","10"
"NFLX","440.64","2020-05-14 11:16:00-04:00","11"
"NFLX","440.34","2020-05-14 12:59:00-04:00","12"
"NFLX","441.78","2020-05-14 13:49:00-04:00","13"
"NFLX","441.44","2020-05-14 14:30:00-04:00","14"
"NFLX","442.14","2020-05-14 15:59:00-04:00","15"
"OKTA","178.0","2020-05-14 09:38:00-04:00","09"
"OKTA","177.81","2020-05-14 10:10:00-04:00","10"
"OKTA","179.89","2020-05-14 11:37:00-04:00","11"
"OKTA","179.01","2020-05-14 12:57:00-04:00","12"
"OKTA","178.5","2020-05-14 13:02:00-04:00","13"
"OKTA","177.81","2020-05-14 14:32:00-04:00","14"
"OKTA","177.85","2020-05-14 15:05:00-04:00","15"
"PINS","16.54","2020-05-14 09:31:00-04:00","09"
"PINS","16.67","2020-05-14 10:52:00-04:00","10"
"PINS","16.94","2020-05-14 11:18:00-04:00","11"
"PINS","17.04","2020-05-14 12:57:00-04:00","12"
"PINS","17.03","2020-05-14 13:26:00-04:00","13"
"PINS","16.91","2020-05-14 14:21:00-04:00","14"
"PINS","17.09","2020-05-14 15:50:00-04:00","15"
"SHOP","758.09","2020-05-14 09:31:00-04:00","09"
"SHOP","752.0","2020-05-14 10:10:00-04:00","10"
"SHOP","757.47","2020-05-14 11:16:00-04:00","11"
"SHOP","754.16","2020-05-14 12:57:00-04:00","12"
"SHOP","755.82","2020-05-14 13:01:00-04:00","13"
"SHOP","751.8","2020-05-14 14:57:00-04:00","14"
"SHOP","755.57","2020-05-14 15:50:00-04:00","15"
"SNAP","16.73","2020-05-14 09:31:00-04:00","09"
"SNAP","16.93","2020-05-14 10:53:00-04:00","10"
"SNAP","17.15","2020-05-14 11:07:00-04:00","11"
"SNAP","16.99","2020-05-14 12:57:00-04:00","12"
"SNAP","17.0","2020-05-14 13:31:00-04:00","13"
"SNAP","16.92","2020-05-14 14:57:00-04:00","14"
"SNAP","16.97","2020-05-14 15:04:00-04:00","15"
"SQ","72.81","2020-05-14 09:46:00-04:00","09"
"SQ","75.59","2020-05-14 10:59:00-04:00","10"
"SQ","76.49","2020-05-14 11:09:00-04:00","11"
"SQ","76.75","2020-05-14 12:59:00-04:00","12"
"SQ","77.18","2020-05-14 13:48:00-04:00","13"
"SQ","77.26","2020-05-14 14:59:00-04:00","14"
"SQ","78.25","2020-05-14 15:57:00-04:00","15"
"TTD","289.45","2020-05-14 09:31:00-04:00","09"
"TTD","290.07","2020-05-14 10:53:00-04:00","10"
"TTD","296.86","2020-05-14 11:18:00-04:00","11"
"TTD","294.5","2020-05-14 12:57:00-04:00","12"
"TTD","296.0","2020-05-14 13:31:00-04:00","13"
"TTD","295.77","2020-05-14 14:59:00-04:00","14"
"TTD","297.67","2020-05-14 15:24:00-04:00","15"
